[root[1 376670]Org[121 124]Rattu[122  123]]
[root[1 376670]Org[14937 14940]Rattu[14938  14939]]
[root[1 376670]Org[21429 21432]Rattu[21430  21431]]
[root[1 376670]Org[81083 81086]Rattu[81084  81085]]
[root[1 376670]Org[82867 82870]Rattu[82868  82869]]
[root[1 376670]Org[83207 83210]Rattu[83208  83209]]
[root[1 376670]Org[84017 84020]Rattu[84018  84019]]
[root[1 376670]Org[84901 84904]Rattu[84902  84903]]
[root[1 376670]Org[96083 96086]Rattu[96084  96085]]
[root[1 376670]Org[97839 97842]Rattu[97840  97841]]
[root[1 376670]Org[98911 98914]Rattu[98912  98913]]
[root[1 376670]Org[99555 99558]Rattu[99556  99557]]
[root[1 376670]Org[113081 113084]Rattu[113082  113083]]
[root[1 376670]Org[118367 118370]Rattu[118368  118369]]
[root[1 376670]Org[122077 122080]Rattu[122078  122079]]
[root[1 376670]Org[129573 129576]Rattu[129574  129575]]
[root[1 376670]Org[132343 132346]Rattu[132344  132345]]
[root[1 376670]Org[132831 132834]Rattu[132832  132833]]
[root[1 376670]Org[140847 140850]Rattu[140848  140849]]
[root[1 376670]Org[151465 151468]Rattu[151466  151467]]
[root[1 376670]Org[155665 155668]Rattu[155666  155667]]
[root[1 376670]Org[158137 158140]Rattu[158138  158139]]
[root[1 376670]Org[161105 161108]Rattu[161106  161107]]
[root[1 376670]Org[190959 190962]Rattu[190960  190961]]
[root[1 376670]Org[196749 196752]Rattu[196750  196751]]
[root[1 376670]Org[221923 221926]Rattu[221924  221925]]
[root[1 376670]Org[226143 226146]Rattu[226144  226145]]
[root[1 376670]Org[229089 229092]Rattu[229090  229091]]
[root[1 376670]Org[246249 246252]Rattu[246250  246251]]
[root[1 376670]Org[255641 255644]Rattu[255642  255643]]
[root[1 376670]Org[265973 265976]Rattu[265974  265975]]
[root[1 376670]Org[286265 286268]Rattu[286266  286267]]
[root[1 376670]Org[336785 336788]Rattu[336786  336787]]
[root[1 376670]Org[346317 346320]Rattu[346318  346319]]
[root[1 376670]Org[354821 354824]Rattu[354822  354823]]
[root[1 376670]Org[358041 358044]Rattu[358042  358043]]
